id,season,team1,team2,toss_winner,toss_decision,winner,win_by_runs,win_by_wickets,venue,city,stage
519,2016,RCB,DC,DC,field,DC,0,7,M Chinnaswamy Stadium,Bangalore,Unknown
520,2016,MI,SRH,SRH,field,SRH,0,7,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Unknown
521,2016,PBKS,KKR,KKR,field,KKR,0,6,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,Unknown
522,2016,RCB,MI,MI,field,MI,0,6,Wankhede Stadium,Mumbai,Unknown
523,2016,GL,SRH,SRH,field,SRH,0,10,Saurashtra Cricket Association Stadium,Rajkot,Unknown
524,2016,RCB,RPS,RPS,field,RCB,13,0,Maharashtra Cricket Association Stadium,Pune,Unknown
525,2016,DC,MI,MI,field,DC,10,0,Feroz Shah Kotla,Delhi,Unknown
526,2016,PBKS,SRH,SRH,field,SRH,0,5,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Unknown
527,2016,RCB,GL,RCB,bat,GL,0,6,Saurashtra Cricket Association Stadium,Rajkot,Unknown
528,2016,RPS,KKR,KKR,field,KKR,0,2,Maharashtra Cricket Association Stadium,Pune,Unknown
529,2016,MI,PBKS,PBKS,field,MI,25,0,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,Unknown
530,2016,SRH,RPS,RPS,field,RPS,34,0,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Unknown
531,2016,GL,DC,DC,field,GL,1,0,Feroz Shah Kotla,Delhi,Unknown
532,2016,KKR,MI,MI,field,MI,0,6,Wankhede Stadium,Mumbai,Unknown
533,2016,RPS,GL,GL,field,GL,0,3,Maharashtra Cricket Association Stadium,Pune,Unknown
534,2016,DC,KKR,KKR,field,DC,27,0,Feroz Shah Kotla,Delhi,Unknown
535,2016,SRH,RCB,RCB,field,SRH,15,0,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Unknown
536,2016,PBKS,GL,GL,field,PBKS,23,0,Saurashtra Cricket Association Stadium,Rajkot,Unknown
537,2016,RPS,MI,MI,field,MI,0,8,Maharashtra Cricket Association Stadium,Pune,Unknown
538,2016,RCB,KKR,KKR,field,KKR,0,5,M Chinnaswamy Stadium,Bangalore,Unknown
539,2016,GL,DC,DC,field,DC,0,8,Saurashtra Cricket Association Stadium,Rajkot,Unknown
540,2016,KKR,PBKS,PBKS,field,KKR,7,0,Eden Gardens,Kolkata,Unknown
541,2016,DC,RPS,RPS,field,RPS,0,7,Feroz Shah Kotla,Delhi,Unknown
542,2016,GL,SRH,SRH,field,SRH,0,5,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Unknown
543,2016,RPS,RCB,RCB,field,RCB,0,7,M Chinnaswamy Stadium,Bangalore,Unknown
544,2016,PBKS,DC,DC,field,PBKS,9,0,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,Unknown
545,2016,SRH,MI,MI,field,SRH,85,0,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,Unknown
546,2016,KKR,GL,GL,field,GL,0,5,Eden Gardens,Kolkata,Unknown
547,2016,RCB,PBKS,PBKS,field,RCB,1,0,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,Unknown
548,2016,SRH,RPS,SRH,bat,SRH,4,0,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,Unknown
549,2016,RCB,MI,MI,field,MI,0,6,M Chinnaswamy Stadium,Bangalore,Unknown
550,2016,SRH,DC,DC,field,DC,0,7,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Unknown
551,2016,MI,PBKS,MI,bat,PBKS,0,7,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,Unknown
552,2016,RCB,GL,GL,field,RCB,144,0,M Chinnaswamy Stadium,Bangalore,Unknown
553,2016,RPS,KKR,RPS,bat,KKR,0,8,Eden Gardens,Kolkata,Unknown
554,2016,PBKS,SRH,PBKS,bat,SRH,0,7,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,Unknown
555,2016,MI,DC,DC,field,MI,80,0,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,Unknown
556,2016,KKR,RCB,RCB,field,RCB,0,9,Eden Gardens,Kolkata,Unknown
557,2016,DC,RPS,RPS,field,RPS,19,0,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,Unknown
558,2016,RCB,PBKS,PBKS,field,RCB,82,0,M Chinnaswamy Stadium,Bangalore,Unknown
559,2016,KKR,GL,GL,field,GL,0,6,Green Park,Kanpur,Unknown
560,2016,SRH,DC,DC,field,DC,0,6,Shaheed Veer Narayan Singh International Stadium,Raipur,Unknown
561,2016,PBKS,RPS,PBKS,bat,RPS,0,4,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,Unknown
562,2016,MI,GL,GL,field,GL,0,6,Green Park,Kanpur,Unknown
563,2016,KKR,SRH,SRH,field,KKR,22,0,Eden Gardens,Kolkata,Unknown
564,2016,DC,RCB,RCB,field,RCB,0,6,Shaheed Veer Narayan Singh International Stadium,Raipur,Unknown
565,2016,GL,RCB,RCB,field,RCB,0,4,M Chinnaswamy Stadium,Bangalore,Qualifier 1
566,2016,SRH,KKR,KKR,field,SRH,22,0,Feroz Shah Kotla,Delhi,Elimination Final
